Qtr,Zip,City,State,Country,Qty,
Q1-2016,QLD 4054,KEPERRA,QLD,Australia,2,
,QLD 4700,ROCKHAMPTON,QLD,Australia,1,
,QLD 4101,SOUTH BRISBANE,QLD,Australia,1,
Q1-2016,L1G 2B9,OSHAWA,,Canada,1,
Q1-2016,USD 100000,BEIJING,USD,China,1,
Q1-2016,USD 130000,CHANGCHUN CITY,USD,China,2,
Q1-2016,USD 410000,CHANGSHA,USD,China,1,
Q1-2016,USD 610000,CHENGDU,USD,China,2,
Q1-2016,USD 400037,CHONGQING,,China,1,
Q1-2016,USD 253009,DEZHOU,,China,1,
Q1-2016,USD 510000,GUANGZHOU,USD,China,1,
Q1-2016,USD 999077,HONGKONG,USD,China,1,
Q1-2016,USD 266400,JIAONAN,USD,China,1,
Q1-2016,USD 333105,SHANGRAO,USD,China,1,
Q1-2016,USD 312000,SHAOXING,USD,China,1,
Q1-2016,USD 215631,SUZHOU,USD,China,1,
Q1-2016,USD 450000,ZHENGZHOU,USD,China,1,
Q1-2016,USD 563000,ZUNYI,USD,China,1,
,USD 100000,BEIJING,USD,China,11,
,RMB 748100,DINGXI,RMB,China,1,
,USD 310000,HANGZHOU,USD,China,1,
,USD 272400,JINING,USD,China,1,
,USD 730000,LANZHOU,USD,China,1,
,USD 445400,LICHUAN,USD,China,1,
,USD 330000,NANCHANG,USD,China,1,
,USD 210000,NANJING,USD,China,1,
,RMB 351254,PUTIAN,RMB,China,1,
,USD 266000,QINGDAO,USD,China,1,
,USD 200030,SHANGHAI,USD,China,2,
,USD 277500,TENGZHOU,USD,China,1,
,USD 255025,ZIBO,USD,China,1,
Q1-2016,00029,VANTAA,,Finland,1,
Q1-2016,92110,CLICHY,,France,1,
,63003,CLERMONT FERRAND,,France,1,
,13353,BERLIN,,Germany,1,
,71201,HRAKLEIO,,Greece,1,
,Veszprem 8200,VESZPREM,,Hungary,1,
Q1-2016,Chennai 600100,CHENNAI,TAMIL NADU,India,1,
Q1-2016,Hyderabad 500035,HYDERABAD,ANDHRA PRADESH,India,1,
Q1-2016,Jabalpur 482003,JABALPUR,MADHYA PRADESH,India,1,
Q1-2016,Surat 395002,SURAT,GUJARAT,India,1,
Q1-2016,Trivandrum 695607,TRIVANDRUM,Kerala,India,1,
,Ernakulam 683572,ERNAKULAM,Kerala,India,1,
,Greater Noida 201306,GREATER NOIDA,UTTAR PRADESH,India,1,
,Hyderabad 500032,HYDERABAD,Andhra Pradesh,India,2,
,Indore 452001,INDORE,Madhya Pradesh,India,1,
,Mumbai 400062,MUMBAI,Maharashtra,India,1,
,Thanjavur 613001,THANJAVUR,Tamil Nadu,India,1,
Q1-2016,Bekasi 17144,BEKASI,,Indonesia,1,
Q1-2016,Jakarta 12980,JAKARTA,,Indonesia,1,
,Surabaya 60252,Surabaya,,Indonesia,3,
Q1-2016,amakusashi 8630013,AMAKUSASHI,,Japan,1,
Q1-2016,Hiyuugashi 8830021,HIYUUGASHI,,Japan,1,
Q1-2016,Itabashiku 1750083,ITABASHIKU,,Japan,1,
Q1-2016,Kitaaidugunkitaaidum 9696186,KITAAIDUGUNKITAAIDUMURA,,Japan,1,
Q1-2016,Kyoutoshinakagyouk 6048845,KYOUTOSHINAKAGYOUKU,,Japan,1,
Q1-2016,Matsuyamashi 7900802,MATSUYAMASHI,,Japan,1,
Q1-2016,Oosakashi 5330022,OOSAKASHI,,Japan,1,
Q1-2016,Sakadoshi 3500262,SAKADOSHI,,Japan,1,
Q1-2016,Takamatsushi 7600065,TAKAMATSUSHI,,Japan,1,
,Asahikawashi 0788244,ASAHIKAWASHI,,Japan,2,
,Chiyodaku 1020074,CHIYODAKU,,Japan,1,
,Hachiouzishi 1920903,HACHIOUZISHI,,Japan,1,
,Hamamatsushi 4308558,HAMAMATSUSHI,,Japan,1,
,Higashitsugarugunhi 0393321,HIGASHITSUGARUGUNHIRANAIMACHI,,Japan,1,
,Hirosakishi 368045,HIROSAKISHI,,Japan,1,
,Hiroshimashiminamiku 7340004,HIROSHIMASHIMINAMIKU,,Japan,1,
,Huchiyuushi 7260002,HUCHIYUUSHI,,Japan,1,
,Huzisawashi 2510042,HUZISAWASHI,,Japan,1,
,Ichikawashi 2720021,ICHIKAWASHI,,Japan,1,
,Ichinosekishi 293405,ICHINOSEKISHI,,Japan,1,
,Iwamizawashi 0680044,IWAMIZAWASHI,,Japan,1,
,Kirishimashi 8994352,KIRISHIMASHI,,Japan,1,
,Koutouku 1358550,KOUTOUKU,,Japan,1,
,Kumamotoshi 8610136,KUMAMOTOSHI,,Japan,1,
,Kumamotoshi 8600872,KUMAMOTOSHI,,Japan,1,
,Matsumotoshi 3908505,MATSUMOTOSHI,,Japan,1,
,Minamiaidugun 9670006,MINAMIAIDUGUN,,Japan,1,
,Sabaeshi 9160025,SABAESHI,,Japan,1,
,Aomori 391517,SANNOHEGUNGONOHEMACHI,Aomori,Japan,1,
,Takamatsushi 7618076,TAKAMATSUSHI,,Japan,1,
,Takasakishi 3700001,TAKASAKISHI,,Japan,1,
,Touganeshi 2838650,TOUGANESHI,,Japan,1,
,Tsushi 5140114,TSUSHI,,Japan,1,
Q1-2016,Gwangju 503-715,GWANGJU,,"Korea, Republic of",1,
Q1-2016,Luxembourg 2763,LUXEMBOURG,,Luxembourg,1,
,Lublin 20 954,LUBLIN,,Poland,1,
,Warszawa 01 138,WARSZAWA,,Poland,1,
Q1-2016,Samutprakarn 10270,Samutprakarn,,Thailand,2,
,Bangkok 10250,BANGKOK,,Thailand,1,
,Bangplee Samuprakarn 10540,Bangplee Samutprakarn,,Thailand,1,
Q1-2016,Ankara 06xxx,ANKARA,CENTRAL ANATOLIA,Turkey,1,
Q1-2016,Corum 19000,CORUM,,Turkey,1,
,SW17 0QT,TOOTING,,United Kingdom,1,
,700000,HO CHI MINH CITY,,Vietnam,1,
,,,,,114,
,,,,,114,
